Max SAT,Average House Price
1202,313845.1115702479
1107,224057.75862068965
956,122893.86503067485
713,102166.66666666669
979,201253.85714285716
1097,199894.7521865889
1130,204423.0769230769
941,187800.0
1107,298151.54545454547
1185,246278.24752475249
1077,280061.90476190473
1094,239118.75
984,159438.09523809524
1039,119262.62626262626
1136,153066.25
1053,110037.5
1061,108808.69565217392
879,72766.66666666667
1111,92133.33333333331
964,83120.61855670103
1028,78037.14285714286
961,68100.0
950,66366.66666666667
1016,132275.0
983,94648.78048780488
827,133900.0
915,81855.55555555556
959,81900.0
933,95691.17647058824
991,132022.22222222222
806,188392.537414966
988,148226.5625
1074,202470.58823529413
940,201147.61904761905
1129,397544.8888888889
1071,187750.0
985,157826.14379084966
1107,340792.72839506174
1146,395131.5671641791
1020,92287.5
1050,163063.2105263158
1035,166150.0
1059,188905.6603773585
978,82079.16666666667
1058,84652.06611570247
814,68725.0
934,80684.21052631579
903,79718.18181818182
881,96382.05128205128
887,75940.0
941,82593.10344827586
1055,88650.0
890,69906.25
849,63540.0
946,84216.12903225806
932,79600.0
784,94200.0
938,75318.51851851853
903,63540.0
899,69980.95238095238
714,58828.57142857143
761,65525.0
960,185144.44444444444
867,98855.55555555556
988,70533.25
934,76066.66666666667
1047,73800.0
1152,90077.22772277228
1014,68458.33333333333
1041,81813.33333333333
1020,94600.0
1068,89500.0
880,66946.34146341463
888,84580.0
868,70288.88888888889
917,81375.0
890,95800.0
1024,120354.54545454546
1037,74800.0
998,80800.43859649122
976,130120.0
955,96650.0
1082,221139.48684210525
816,63750.0
881,63212.5
738,69000.0
1066,85325.92592592593
914,90705.26315789472
963,99160.0
996,107327.27272727272
984,93182.35294117648
847,54108.333333333336
783,148150.0
1014,164100.0
993,106936.84210526316
991,79913.33333333333
1031,93850.0
1057,198325.0
1023,61400.0
999,80117.39130434782
994,97083.87096774194
996,239039.71198957428
998,274926.8660287081
994,255340.15646258503
1113,264190.95454545453
1132,342571.625
1139,471991.064516129
938,226075.95187165771
1029,336664.52592592593
771,185646.46464646465
724,119507.28155339806
843,242806.0945945946
998,255909.4651539708
939,192785.07462686568
996,150364.70588235295
1076,124433.33333333331
851,127621.62162162164
999,210618.18181818185
1081,277575.0
997,215968.58571428573
1002,263555.5555555556
969,201751.208
915,157263.63636363635
863,194293.6170212766
899,184800.0
782,161114.2857142857
991,186107.48299319728
979,227386.51459854012
957,225941.66666666663
1164,360323.8181818182
929,296097.2427184466
1170,248851.10638297876
909,180973.91304347827
993,208779.4642857143
819,193421.05263157896
947,198608.2191780822
969,160762.06896551725
991,215430.98591549296
991,209109.75609756095
976,269615.88552188553
1033,349900.0
1111,466381.1219512195
1033,370912.4
1119,335181.04761904763
1136,500001.0
997,249836.3760683761
979,172495.92517006802
945,375000.0
929,71072.0
972,70344.0
1073,225619.0082644628
1046,202200.0
1093,100066.66666666669
