District,SAT
MARIPOSA COUNTY UNIFIED,1093
ANDERSON VALLEY UNIFIED,1073
FORT BRAGG UNIFIED,1060
MENDOCINO UNIFIED,1198
POINT ARENA JOINT UNION HIGH,986
UKIAH UNIFIED,1109
WILLITS UNIFIED,1087
POTTER VALLEY COMMUNITY UNIFIE,923
LAYTONVILLE UNIFIED,980
HILMAR UNIFIED,937
LE GRAND UNION HIGH,828
LOS BANOS UNIFIED,952
MERCED UNION HIGH,992
GUSTINE UNIFIED,924
DOS PALOS ORO LOMA JT. UNIFIED,867
SURPRISE VALLEY JOINT UNIFIED,911
MODOC JOINT UNIFIED,1002
TULELAKE BASIN JOINT UNIFIED,912
EASTERN SIERRA UNIFIED,914
MAMMOTH UNIFIED,1003
CARMEL UNIFIED,1115
KING CITY JOINT UNION HIGH,872
MONTEREY PENINSULA UNIFIED,997
PACIFIC GROVE UNIFIED,1074
SALINAS UNION HIGH,956
NORTH MONTEREY COUNTY UNIFIED,943
GONZALES UNIFIED,789
CALISTOGA JOINT UNIFIED,1057
NAPA VALLEY UNIFIED,1067
ST. HELENA UNIFIED,1025
NEVADA JOINT UNION HIGH,1093
ANAHEIM UNION HIGH,991
BREA-OLINDA UNIFIED,1109
CAPISTRANO UNIFIED,1107
FULLERTON JOINT UNION HIGH,979
GARDEN GROVE UNIFIED,998
HUNTINGTON BEACH UNION HIGH,976
LAGUNA BEACH UNIFIED,1117
NEWPORT-MESA UNIFIED,999
ORANGE UNIFIED,986
PLACENTIA-YORBA LINDA UNIFIED,1100
SANTA ANA UNIFIED,918
SADDLEBACK VALLEY UNIFIED,1149
TUSTIN UNIFIED,980
IRVINE UNIFIED,1220
LOS ALAMITOS UNIFIED,1084
PLACER UNION HIGH,1059
ROSEVILLE JOINT UNION HIGH,998
TAHOE-TRUCKEE JOINT UNIFIED,1049
WESTERN PLACER UNIFIED,969
ROCKLIN UNIFIED,1019
PLUMAS UNIFIED,994
ALVORD UNIFIED,984
BANNING UNIFIED,846
BEAUMONT UNIFIED,973
CORONA-NORCO UNIFIED,998
DESERT SANDS UNIFIED,965
HEMET UNIFIED,961
JURUPA UNIFIED,925
MORENO VALLEY UNIFIED,973
PALM SPRINGS UNIFIED,931
PALO VERDE UNIFIED,939
PERRIS UNION HIGH,933
RIVERSIDE UNIFIED,977
SAN JACINTO UNIFIED,961
COACHELLA VALLEY UNIFIED,736
LAKE ELSINORE UNIFIED,996
TEMECULA VALLEY UNIFIED,1021
MURRIETA VALLEY UNIFIED,1002
VAL VERDE UNIFIED,846
ELK GROVE UNIFIED,961
FOLSOM-CORDOVA UNIFIED,1078
GALT JOINT UNION HIGH,979
GRANT JOINT UNION HIGH,941
RIVER DELTA JOINT UNIFIED,972
SACRAMENTO CITY UNIFIED,955
SAN JUAN UNIFIED,999
CENTER JOINT UNIFIED,995
NATOMAS UNIFIED,917
SAN BENITO HIGH,960
AROMAS/SAN JUAN UNIFIED,874
BARSTOW UNIFIED,924
BEAR VALLEY UNIFIED,1035
CHAFFEY JOINT UNION HIGH,984
CHINO VALLEY UNIFIED,982
COLTON JOINT UNIFIED,888
FONTANA UNIFIED,922
MORONGO UNIFIED,987
NEEDLES UNIFIED,942
REDLANDS UNIFIED,1048
RIALTO UNIFIED,895
RIM OF THE WORLD UNIFIED,1046
SAN BERNARDINO CITY UNIFIED,970
VICTOR VALLEY UNION HIGH,942
YUCAIPA-CALIMESA JT. UNIFIED,993
SILVER VALLEY UNIFIED,948
SNOWLINE JOINT UNIFIED,1039
HESPERIA UNIFIED,976
UPLAND UNIFIED,1021
APPLE VALLEY UNIFIED,1029
BORREGO SPRINGS UNIFIED,1017
CORONADO UNIFIED,1101
ESCONDIDO UNION HIGH,1041
FALLBROOK UNION HIGH,1053
GROSSMONT UNION HIGH,995
JULIAN UNION HIGH,1063
MOUNTAIN EMPIRE UNIFIED,946
POWAY UNIFIED,1110
RAMONA CITY UNIFIED,1023
SAN DIEGO CITY UNIFIED,988
SAN DIEGUITO UNION HIGH,1159
SWEETWATER UNION HIGH,967
VISTA UNIFIED,1053
CARLSBAD UNIFIED,1038
OCEANSIDE UNIFIED,993
SAN MARCOS UNIFIED,989
WARNER UNIFIED,957
SAN FRANCISCO UNIFIED,981
ESCALON UNIFIED,1040
LINCOLN UNIFIED,1017
LINDEN UNIFIED,960
LODI UNIFIED,1042
MANTECA UNIFIED,997
RIPON UNIFIED,959
STOCKTON CITY UNIFIED,899
TRACY JOINT UNIFIED,971
ATASCADERO UNIFIED,1082
LUCIA MAR UNIFIED,1061
SAN LUIS COASTAL UNIFIED,1126
TEMPLETON UNIFIED,992
PASO ROBLES JOINT UNIFIED,1021
COAST UNIFIED,1049
CABRILLO UNIFIED,1110
JEFFERSON UNION HIGH,987
LA HONDA-PESCADERO UNIFIED,895
SAN MATEO UNION HIGH,996
SEQUOIA UNION HIGH,983
SOUTH SAN FRANCISCO UNIFIED,977
CARPINTERIA UNIFIED,1013
LOMPOC UNIFIED,1035
SANTA BARBARA HIGH,1184
SANTA MARIA JOINT UNION HIGH,987
SANTA YNEZ VALLEY UNION HIGH,1100
CUYAMA JOINT UNIFIED,955
CAMPBELL UNION HIGH,1096
EAST SIDE UNION HIGH,954
FREMONT UNION HIGH,1214
GILROY UNIFIED,997
LOS GATOS-SARATOGA JOINT UNION,1228
MORGAN HILL UNIFIED,1068
MOUNTAIN VIEW-LOS ALTOS UNION,1155
PALO ALTO UNIFIED,1218
SAN JOSE UNIFIED,951
SANTA CLARA UNIFIED,990
MILPITAS UNIFIED,985
PAJARO VALLEY JOINT UNIFIED,948
SAN LORENZO VALLEY UNIFIED,1071
SANTA CRUZ CITY HIGH,1116
ANDERSON UNION HIGH,1067
FALL RIVER JOINT UNIFIED,998
SHASTA UNION HIGH,1072
GATEWAY UNIFIED,1017
